ICT_ID,Country_Key,Time_Key,ICT_Key,ICTUsagePercentage
1,6,4,1,87.4791
2,6,7,1,87.7522
3,6,10,1,87.5294
4,6,13,1,92.5291
5,6,16,1,93.6141
6,6,19,1,95.3347
7,6,22,1,94.9197
8,6,25,1,95.3039
9,8,4,1,88.6551
10,8,7,1,90.2754
11,8,10,1,91.5264
12,8,13,1,92.7887
13,8,16,1,94.0078
14,8,19,1,94.6263
15,8,22,1,95.7758
16,8,25,1,96.4608
236,11,4,1,71.64224449
237,11,7,1,75.81524792
238,11,10,1,82.34
239,11,13,1,82.38
240,11,16,1,81.95
241,11,19,1,86.09
242,11,22,1,86.05
243,12,4,1,64.782
244,12,7,1,67.947
245,12,10,1,70.16250000000001
246,12,13,1,75.2714
247,12,16,1,79.1269
248,12,19,1,80.3896
249,12,22,1,82.4389
250,12,25,1,86.84530000000001
17,13,4,1,94.6396
18,13,10,1,95.1
19,13,16,1,96.89
20,15,19,1,96.79
21,15,22,1,97.3
22,19,4,1,78.29463317
23,19,7,1,86.3976938
24,19,10,1,85.15786298
25,19,13,1,86.9446896
26,19,16,1,87.774729
27,19,19,1,91.9
28,19,22,1,92.96399643403907
251,20,4,1,75.2946
252,20,7,1,79.0798
253,20,10,1,78.32090000000001
254,20,13,1,81.254
255,20,16,1,82.0716
256,20,19,1,83.3982
257,20,22,1,83.63239999999999
258,20,25,1,85.9007
29,23,4,1,86.5024
30,23,7,1,87.0339
31,23,10,1,87.6016
32,23,13,1,88.8537
33,23,16,1,90.643
34,23,19,1,92.0422
35,23,22,1,93.6969
36,23,25,1,94.524
37,25,4,1,97.6081
38,25,7,1,97.0633
39,25,10,1,98.661
40,25,13,1,98.8931
41,25,16,1,97.8574
42,25,19,1,98.797
43,25,22,1,99.7688
44,25,25,1,99.7057
259,28,7,1,56.73560199
260,28,10,1,71.91420097
261,28,16,1,72.2
45,30,4,1,89.3605
46,30,7,1,90.2326
47,30,10,1,89.0584
48,30,13,1,90.9841
49,30,16,1,91.5036
50,30,19,1,93.1963
51,30,22,1,92.2549
52,30,25,1,94.8591
53,33,4,1,94.3981
54,33,7,1,95.2912
55,33,10,1,96.9953
56,33,13,1,96.7059
57,33,16,1,97.2588
58,33,19,1,97.6968
59,33,22,1,97.9485
60,33,25,1,98.0796
61,35,4,1,88.17150000000001
62,35,7,1,89.38589999999999
63,35,13,1,91.5543
64,35,16,1,90.6009
65,35,19,1,92.8283
66,35,22,1,94.1429
67,35,25,1,94.978
68,37,4,1,92.3541
69,37,7,1,92.9795
70,37,10,1,94.2999
71,37,13,1,91.4306
72,37,16,1,91.6298
73,37,19,1,92.4764
74,37,22,1,93.5
75,37,25,1,94.5813
76,38,4,1,72.2384
77,38,7,1,75.6712
78,38,10,1,78.11580000000001
79,38,13,1,78.4943
80,38,16,1,83.1707
81,38,19,1,85.0102
82,38,22,1,86.292
83,38,25,1,89.1532
84,41,4,1,76.0744
85,41,7,1,80.3717
86,41,10,1,84.77120000000001
87,41,13,1,88.6408
88,41,16,1,89.1428
89,41,19,1,91.4501
90,41,22,1,93.779
91,41,25,1,92.8046
92,42,4,1,99.0198
93,42,7,1,99.0333
94,42,10,1,99.4731
95,42,13,1,99.4419
96,46,4,1,82.2106
97,46,7,1,90.3436
98,46,10,1,91.0143
99,46,13,1,98.9322
100,46,16,1,92.0072
101,46,19,1,93.2726
102,46,22,1,98.6024
103,46,25,1,99.7764
104,47,4,1,86.7
105,47,7,1,89.5
106,47,10,1,90.1
107,47,13,1,92.5
108,48,4,1,74.1506
109,48,7,1,75.5675
110,48,10,1,77.9465
111,48,13,1,81.5869
112,48,16,1,85.0692
113,48,19,1,86.9205
114,48,22,1,89.2333
115,48,25,1,90.3229
116,54,4,1,96.02285882
117,54,7,1,96.15757971
118,54,10,1,96.50506035
119,54,13,1,97.571327
120,54,16,1,97.16855335
121,54,19,1,97.41597478
122,54,22,1,97.89563776623513
123,56,4,1,83.57719999999999
124,56,7,1,86.1355
125,56,10,1,88.898
126,56,13,1,91.2984
127,56,16,1,91.3145
128,56,19,1,92.3327
129,56,22,1,93.1967
130,56,25,1,94.5298
131,59,4,1,79.7226
132,59,7,1,81.58189999999999
133,59,10,1,83.0556
134,59,13,1,86.9306
135,59,16,1,87.7242
136,59,19,1,88.5029
137,59,22,1,89.1612
138,59,25,1,89.2988
139,60,4,1,96.5167
140,60,7,1,96.4202
141,60,10,1,98.4596
142,60,13,1,98.6609
143,60,16,1,98.2419
144,60,19,1,99.3479
145,60,22,1,98.7605
146,60,25,1,99.1291
147,63,4,1,67.32916571
148,63,7,1,72.45780066
149,63,10,1,73.26410664
150,63,13,1,77.3656921
151,63,16,1,81.19615544
152,63,19,1,84.45393313828833
153,63,22,1,85.81666243198377
154,69,4,1,94.6633
155,69,7,1,96.0478
156,69,10,1,94.0188
157,69,13,1,94.5159
158,69,16,1,94.7427
159,69,19,1,99.1518
160,69,22,1,99.5219
161,69,25,1,99.7079
162,73,4,1,97.3851
163,73,7,1,98.3963
164,73,10,1,97.6195
165,73,13,1,99.4235
166,73,16,1,99.6965
167,73,19,1,99.6798
168,73,22,1,99.4646
169,73,25,1,98.8168
170,79,4,1,77.5417
171,79,7,1,80.4359
172,79,10,1,83.1849
173,79,13,1,85.3749
174,79,16,1,86.9411
175,79,19,1,86.4147
176,79,22,1,88.58500000000001
177,79,25,1,89.6531
178,80,4,1,74.661
179,80,7,1,75.3464
180,80,10,1,78.26140000000001
181,80,13,1,82.309
182,80,16,1,84.4969
183,80,19,1,85.7901
184,80,22,1,88.48700000000001
185,80,25,1,89.4516
262,82,4,1,70.68130000000001
263,82,7,1,73.6575
264,82,10,1,78.4553
265,82,13,1,83.5904
266,82,16,1,85.5031
267,82,19,1,89.2034
268,82,22,1,91.2905
269,82,25,1,93.1505
186,87,4,1,80.4489
187,87,7,1,82.8537
188,87,10,1,89.9209
189,87,13,1,88.9256
190,87,16,1,89.0677
191,87,19,1,87.2131
192,87,22,1,89.8251
193,87,25,1,92.4941
194,89,4,1,79.75
195,89,7,1,83.1084
196,89,10,1,86.60130000000001
197,89,13,1,89.004
198,89,16,1,88.9124
199,89,19,1,90.3779
200,89,22,1,90.7635
201,89,25,1,91.5671
202,91,4,1,86.10719999999999
203,91,7,1,90.7187
204,91,10,1,93.2056
205,91,13,1,93.8975
206,91,16,1,94.4855
207,91,19,1,95.4456
208,91,22,1,95.7782
209,91,25,1,96.3365
210,93,4,1,92.0789
211,93,7,1,97.5515
212,93,10,1,97.0802
213,93,13,1,96.7601
214,93,16,1,96.8115
215,93,19,1,97.5946
216,93,22,1,98.0766
217,93,25,1,98.2525
218,94,7,1,96.50568
219,94,13,1,98.1403
220,94,19,1,99.2513
221,94,25,1,98.9208
222,99,4,1,71.0418
223,99,7,1,73.9767
224,99,10,1,77.6696
225,99,13,1,81.4084
226,99,16,1,83.4372
227,99,19,1,85.9607
228,99,22,1,87.3079
229,99,25,1,89.7702
230,102,4,1,94.7763
231,102,7,1,95.5732
232,102,10,1,97.3206
233,103,7,1,83.26
234,103,13,1,83.86
235,103,19,1,86.46
