Patent_ID,Country_Key,Time_Key,PatentAuthorityKey,Patent_Key,AgentRoleKey,PatentCount
2082,1,4,1,1,1,0.0
2081,1,4,1,1,2,1.416700005531311
2085,1,4,1,2,1,0.0
2086,1,4,1,2,1,1.0
2083,1,4,1,2,2,0.5
2084,1,4,1,2,2,1.533300042152405
2090,1,4,2,1,1,0.0
2089,1,4,2,1,2,0.6499999761581421
2093,1,4,2,2,1,0.0
2094,1,4,2,2,1,2.0
2091,1,4,2,2,2,0.4000000059604645
2092,1,4,2,2,2,3.283299922943115
2088,1,4,3,1,1,10.0
2087,1,4,3,1,2,11.41670036315918
2096,1,7,1,1,1,1.0
2095,1,7,1,1,2,1.0
2099,1,7,1,2,1,1.0
2100,1,7,1,2,1,1.0
2097,1,7,1,2,2,1.0
2098,1,7,1,2,2,1.272699952125549
2104,1,7,2,1,1,0.0
2103,1,7,2,1,2,0.699999988079071
2107,1,7,2,2,1,0.0
2108,1,7,2,2,1,0.0
2105,1,7,2,2,2,0.5
2106,1,7,2,2,2,1.25
2102,1,7,3,1,1,7.0
2101,1,7,3,1,2,8.0
2110,1,10,1,1,1,2.0
2109,1,10,1,1,2,2.700000047683716
2113,1,10,1,2,1,0.0
2114,1,10,1,2,1,0.0
2111,1,10,1,2,2,0.0
2112,1,10,1,2,2,1.533300042152405
2118,1,10,2,1,1,3.866699934005737
2117,1,10,2,1,2,5.566699981689453
2121,1,10,2,2,1,2.0
2122,1,10,2,2,1,0.2000000029802322
2119,1,10,2,2,2,2.5
2120,1,10,2,2,2,0.5611000061035156
2116,1,10,3,1,1,13.33329963684082
2115,1,10,3,1,2,13.36670017242432
2124,1,13,1,1,1,1.0
2123,1,13,1,1,2,1.0
2126,1,13,1,2,1,0.0
2125,1,13,1,2,2,0.0
2130,1,13,2,1,1,0.5
2129,1,13,2,1,2,2.933300018310547
2132,1,13,2,2,1,0.5
2131,1,13,2,2,2,0.8999999761581421
2128,1,13,3,1,1,7.0
2127,1,13,3,1,2,8.08329963684082
2134,2,4,1,1,1,5.5
2133,2,4,1,1,2,6.699999809265137
2137,2,4,1,2,1,0.0
2138,2,4,1,2,1,3.0
2135,2,4,1,2,2,1.200000047683716
2136,2,4,1,2,2,3.25
2142,2,4,2,1,1,3.333300113677979
2141,2,4,2,1,2,3.5
2145,2,4,2,2,1,2.333300113677979
2146,2,4,2,2,1,2.0
2143,2,4,2,2,2,3.0
2144,2,4,2,2,2,1.083299994468689
2140,2,4,3,1,1,6.0
2139,2,4,3,1,2,8.449999809265137
2148,2,7,1,1,1,0.0
2147,2,7,1,1,2,1.700000047683716
2151,2,7,1,2,1,0.0
2152,2,7,1,2,1,2.0
2149,2,7,1,2,2,0.449999988079071
2150,2,7,1,2,2,2.0
2156,2,7,2,1,1,1.0
2155,2,7,2,1,2,1.233299970626831
2159,2,7,2,2,1,1.0
2160,2,7,2,2,1,1.0
2157,2,7,2,2,2,1.233299970626831
2158,2,7,2,2,2,0.833299994468689
2154,2,7,3,1,1,3.5
2153,2,7,3,1,2,4.083300113677979
2162,2,10,1,1,1,2.0
2161,2,10,1,1,2,1.958299994468689
2165,2,10,1,2,1,0.0
2166,2,10,1,2,1,1.0
2163,2,10,1,2,2,0.0
2164,2,10,1,2,2,0.166700005531311
2170,2,10,2,1,1,2.0
2169,2,10,2,1,2,0.833299994468689
2173,2,10,2,2,1,1.0
2174,2,10,2,2,1,0.0
2171,2,10,2,2,2,0.166700005531311
2172,2,10,2,2,2,2.366699934005737
2168,2,10,3,1,1,1.333299994468689
2167,2,10,3,1,2,1.958299994468689
2176,2,13,1,1,1,3.166699886322021
2175,2,13,1,1,2,0.958299994468689
2178,2,13,1,2,1,0.0
2177,2,13,1,2,2,0.2000000029802322
2182,2,13,2,1,1,0.666700005531311
2181,2,13,2,1,2,0.5
2184,2,13,2,2,1,0.666700005531311
2183,2,13,2,2,2,0.699999988079071
2180,2,13,3,1,1,3.166699886322021
2179,2,13,3,1,2,1.583299994468689
2186,3,4,1,1,1,25.16670036315918
2185,3,4,1,1,2,51.02500152587891
2189,3,4,1,2,1,6.333300113677979
2190,3,4,1,2,1,15.23330020904541
2187,3,4,1,2,2,12.98569965362549
2188,3,4,1,2,2,34.95869827270508
2194,3,4,2,1,1,61.59999847412109
2193,3,4,2,1,2,143.1441040039063
2197,3,4,2,2,1,35.26670074462891
2198,3,4,2,2,1,35.26900100708008
2195,3,4,2,2,2,112.0127029418945
2196,3,4,2,2,2,88.1344985961914
2192,3,4,3,1,1,37.95830154418945
2191,3,4,3,1,2,62.85120010375977
2200,3,7,1,1,1,20.66670036315918
2199,3,7,1,1,2,45.52619934082031
2203,3,7,1,2,1,6.666699886322021
2204,3,7,1,2,1,19.58329963684082
2201,3,7,1,2,2,13.36670017242432
2202,3,7,1,2,2,40.05709838867188
2208,3,7,2,1,1,62.91669845581055
2207,3,7,2,1,2,169.0272979736328
2211,3,7,2,2,1,28.25
2212,3,7,2,2,1,55.36669921875
2209,3,7,2,2,2,104.3308029174805
2210,3,7,2,2,2,134.5711975097656
2206,3,7,3,1,1,27.33329963684082
2205,3,7,3,1,2,58.89289855957031
2214,3,10,1,1,1,27.33329963684082
2213,3,10,1,1,2,53.43330001831055
2217,3,10,1,2,1,2.0
2218,3,10,1,2,1,11.39999961853027
2215,3,10,1,2,2,2.833300113677979
2216,3,10,1,2,2,29.42060089111328
2222,3,10,2,1,1,70.25
2221,3,10,2,1,2,140.7648010253906
2225,3,10,2,2,1,25.25
2226,3,10,2,2,1,38.54439926147461
2223,3,10,2,2,2,69.27259826660156
2224,3,10,2,2,2,107.5494995117188
2220,3,10,3,1,1,39.5
2219,3,10,3,1,2,67.76229858398438
2228,3,13,1,1,1,14.06669998168945
2227,3,13,1,1,2,29.9242000579834
2230,3,13,1,2,1,10.73330020904541
2229,3,13,1,2,2,26.30789947509766
2234,3,13,2,1,1,47.5
2233,3,13,2,1,2,126.8523025512695
