Country_Key,Country_Name
1,Algeria
2,Andorra
3,Argentina
4,Armenia
5,Australia
6,Austria
7,Belarus
8,Belgium
9,Bermuda
10,Bosnia and Herzegovina
11,Brazil
12,Bulgaria
13,Canada
14,Cayman Islands
15,Chile
16,China (People’s Republic of)
17,Chinese Taipei
18,Colombia
19,Costa Rica
20,Croatia
21,Cuba
22,Cyprus
23,Czechia
24,Democratic People’s Republic of Korea
25,Denmark
26,Djibouti
27,Ecuador
28,Egypt
29,El Salvador
30,Estonia
31,European Union (27 countries from 01/02/2020)
32,Finland
33,Former Yugoslavia
34,France
35,Georgia
36,Germany
37,Greece
38,Guatemala
39,Hong Kong (China)
40,Hungary
41,Iceland
42,India
43,Indonesia
44,Iran
45,Ireland
46,Israel
47,Italy
48,Jamaica
49,Japan
50,Jordan
51,Kazakhstan
52,Kenya
53,Korea
54,Kuwait
55,Latvia
56,Lebanon
57,Liechtenstein
58,Lithuania
59,Luxembourg
60,Malaysia
61,Malta
62,Mexico
63,Moldova
64,Monaco
65,Mongolia
66,Morocco
67,Netherlands
68,New Zealand
69,Nigeria
70,North Macedonia
71,Norway
72,OECD
73,Pakistan
74,Panama
75,Peru
76,Philippines
77,Poland
78,Portugal
79,Puerto Rico
80,Romania
81,Russia
82,Saudi Arabia
83,Seychelles
84,Singapore
85,Slovak Republic
86,Slovenia
87,South Africa
88,Spain
89,Sri Lanka
90,Sweden
91,Switzerland
92,Thailand
93,Trinidad and Tobago
94,Tunisia
95,Türkiye
96,Ukraine
97,United Arab Emirates
98,United Kingdom
99,United States
100,Uruguay
101,Uzbekistan
102,Venezuela
103,World
104,Zimbabwe
