R&D_ID,Country_Key,Time_Key,ExpenditureAmount,ResearcherNumber
1,1,1,76,55
2,2,1,53,
3,1,2,73,56
4,1,3,71,57
5,2,3,53,
6,1,4,65,57
7,1,5,61,56
8,1,6,58,56
9,1,7,58,56
10,1,8,58,56
11,1,9,55,56
12,2,5,51,
13,2,7,53,
14,3,1,71,64
15,3,2,70,63
16,3,3,70,63
17,3,4,70,63
18,3,5,70,64
19,3,6,70,63
20,3,7,69,64
21,3,8,69,64
22,3,9,69,65
23,4,1,70,54
24,4,2,69,54
25,4,3,70,54
26,4,4,72,54
27,4,5,74,56
28,4,6,74,56
29,4,7,75,56
30,4,8,72,55
31,4,9,72,55
32,5,1,73,56
33,5,2,73,59
34,5,3,70,58
35,5,4,72,57
36,5,5,67,56
37,5,6,68,57
38,5,7,66,57
39,5,8,68,57
40,5,9,64,58
41,6,1,53,59
42,6,2,53,58
43,6,3,53,58
44,6,4,54,60
45,6,5,54,61
46,6,6,55,62
47,6,7,59,63
48,6,8,59,63
49,6,9,59,
50,6,10,60,
51,7,1,43,49
52,7,2,45,48
53,7,3,47,50
54,7,4,48,50
55,7,5,49,52
56,7,6,48,51
57,7,7,43,44
58,7,8,42,42
59,8,1,77,63
60,8,2,77,62
61,8,3,78,61
62,8,4,77,61
63,8,5,76,58
64,8,6,77,58
65,8,7,78,58
66,8,8,79,58
67,8,9,79,59
68,9,1,78,69
69,9,2,78,70
70,9,3,79,70
71,9,4,80,71
72,9,5,81,71
73,9,6,83,72
74,9,7,84,73
75,9,8,85,74
76,9,9,85,75
77,10,1,48,
78,10,2,41,
79,10,3,38,
80,10,4,45,
81,10,5,49,
82,10,6,53,
83,11,1,58,46
84,11,2,58,56
85,11,3,59,63
86,11,4,60,58
87,11,6,59,55
88,11,7,58,52
89,11,8,,46
90,11,9,,44
91,12,1,51,56
92,12,2,46,55
93,12,3,48,56
94,12,4,48,55
95,12,5,49,55
96,12,6,48,57
97,12,7,47,57
98,12,8,54,57
99,12,9,55,57
100,13,1,54,50
101,13,2,61,51
102,13,3,63,52
103,13,4,62,51
104,13,5,62,51
105,13,6,61,51
106,13,7,63,53
107,13,8,64,54
108,13,9,65,55
109,14,1,63,58
110,14,2,65,60
111,14,3,63,59
112,14,4,63,58
113,14,5,62,58
114,14,6,62,58
115,14,7,62,56
116,14,8,61,58
117,14,9,62,59
118,15,1,46,61
119,15,2,51,61
120,15,3,47,61
121,15,4,45,66
122,15,5,53,66
123,15,6,55,68
124,15,7,56,68
125,15,8,56,64
126,15,9,58,63
127,16,1,64,52
128,16,2,65,53
129,16,3,66,54
130,16,4,66,55
131,16,5,66,55
132,16,6,65,55
133,16,7,66,55
134,16,8,66,56
135,16,9,66,56
136,17,1,67,57
137,17,2,66,56
138,17,3,65,55
139,17,4,66,56
140,17,5,66,57
141,17,6,67,59
142,17,7,69,62
143,17,8,68,60
144,17,9,68,60
145,18,1,65,60
146,18,2,65,60
147,18,3,65,61
148,18,4,66,62
149,18,5,66,62
150,18,6,66,62
151,18,7,66,62
152,18,8,66,62
153,18,9,66,62
154,19,1,69,59
155,19,2,68,59
156,19,3,69,60
157,19,4,69,60
158,19,5,69,61
159,19,6,67,60
160,19,7,67,60
161,19,8,67,61
162,19,9,68,63
163,20,1,53,64
164,20,2,43,59
165,20,3,49,51
166,20,4,48,51
167,20,5,46,52
168,20,6,46,53
169,20,7,47,51
170,20,8,49,52
171,20,9,49,50
172,21,1,73,59
173,21,2,74,59
174,21,3,73,62
175,21,4,76,57
176,21,5,75,58
177,21,6,76,59
178,21,7,75,61
179,21,8,72,60
180,21,9,73,63
181,22,1,66,
182,22,2,64,
183,22,3,64,53
184,22,4,64,53
185,22,5,69,
186,22,6,68,
187,22,7,72,56
188,22,8,72,
189,22,9,75,50
190,23,1,72,52
191,23,2,72,52
192,23,3,74,51
193,23,4,77,54
194,23,5,79,53
195,23,6,79,52
196,23,7,80,50
197,23,8,88,53
198,23,9,86,51
199,24,1,85,
200,24,2,87,
201,24,3,88,
202,24,4,88,
203,24,5,90,
204,24,6,91,
205,24,7,92,
206,24,8,93,
207,24,9,93,
208,25,1,58,48
209,25,2,61,48
210,25,3,62,48
211,25,4,63,48
212,25,5,63,49
213,25,6,62,49
214,25,7,60,50
215,25,8,60,50
216,25,9,58,43
217,26,1,78,73
218,26,2,79,73
219,26,3,79,74
220,26,4,79,74
221,26,5,79,74
222,26,6,79,75
223,26,7,79,75
224,26,8,79,75
225,26,9,79,75
226,27,1,78,80
227,27,2,78,80
228,27,3,79,81
229,27,4,80,82
230,27,5,80,82
231,27,6,79,82
232,27,7,79,83
233,27,8,79,83
234,27,9,79,82
235,28,1,50,64
236,28,2,48,62
237,28,3,47,65
238,28,4,52,64
239,28,5,55,64
240,28,6,47,64
241,28,7,44,60
242,28,8,46,57
243,28,9,44,55
244,29,1,56,59
245,29,2,39,59
246,29,3,37,55
247,29,4,42,55
248,29,5,43,55
249,29,6,47,56
250,29,7,49,56
251,29,8,50,56
252,29,9,43,57
253,30,1,53,40
254,30,2,55,43
255,30,3,56,43
256,30,4,53,40
257,30,5,54,41
258,30,6,50,41
259,30,7,51,44
260,30,8,49,43
261,30,9,50,45
262,31,1,80,49
263,31,2,78,44
264,31,3,77,43
265,32,1,64,67
266,32,2,66,68
267,32,3,66,69
268,32,4,66,70
269,32,5,67,69
270,32,6,67,69
271,32,7,66,69
272,32,8,68,71
273,32,9,69,71
274,33,1,51,64
275,33,3,54,54
276,33,5,58,57
277,33,7,60,46
278,33,9,63,50
279,34,1,54,49
280,34,2,53,48
281,34,3,53,49
282,34,4,52,50
283,34,5,53,50
284,34,6,54,51
285,34,7,54,51
286,34,8,55,52
287,34,9,57,54
288,35,1,69,62
289,35,2,70,62
290,35,3,71,63
291,35,4,71,64
292,35,5,72,65
293,35,6,72,65
294,35,7,73,66
295,35,8,73,66
296,35,9,74,
297,36,1,47,49
298,36,2,66,58
299,36,3,64,53
300,36,4,66,54
301,36,5,63,59
302,36,6,63,56
303,36,7,63,55
304,36,8,66,56
305,36,9,65,56
306,37,1,46,65
307,37,2,48,63
308,37,3,50,61
309,37,4,51,61
310,37,5,52,60
311,37,6,57,61
312,37,7,60,61
313,37,8,62,61
314,37,9,63,62
315,38,1,44,49
316,38,2,55,49
317,38,3,57,49
318,38,4,59,50
319,38,5,58,50
320,38,6,59,50
321,38,7,60,52
322,38,8,62,51
323,38,9,62,52
324,39,1,70,46
325,39,2,68,47
326,39,3,66,47
327,39,4,67,46
328,39,5,66,48
329,39,6,68,47
330,40,1,59,50
331,40,2,58,49
332,40,3,59,50
333,40,4,60,51
334,40,5,61,52
335,40,6,63,54
336,40,7,64,51
337,40,8,64,54
338,41,1,44,59
339,41,2,50,58
340,41,3,54,57
341,41,4,54,57
342,41,5,55,57
343,41,6,54,57
344,41,7,56,55
345,41,8,57,52
346,41,9,56,51
347,42,1,76,53
348,42,2,76,55
349,42,3,75,62
350,42,4,74,62
351,42,5,74,61
352,42,6,73,61
353,42,7,73,60
354,42,8,70,58
355,42,9,69,56
356,43,1,45,70
357,43,2,46,71
358,43,3,47,71
359,43,4,48,74
360,43,5,56,78
361,43,6,56,79
362,43,7,53,79
363,43,8,51,78
364,44,1,53,50
365,44,2,54,51
366,44,3,55,51
367,44,4,57,52
368,44,5,56,53
369,44,6,56,54
370,44,7,56,55
371,44,8,56,55
372,44,9,56,55
373,45,1,70,68
374,45,2,70,67
375,45,3,71,71
376,45,4,71,73
377,45,5,72,71
378,45,6,72,72
379,45,7,72,75
380,45,8,74,75
381,45,9,74,73
382,8,1,69,50
383,8,3,68,51
384,8,5,69,51
385,8,7,69,50
386,8,8,,42
387,8,9,69,49
388,46,1,49,50
389,46,2,50,51
390,46,3,50,53
391,46,4,53,57
392,46,5,56,57
393,46,6,56,58
394,46,7,61,59
395,46,8,61,62
396,46,9,65,64
397,47,1,76,59
398,47,2,77,58
399,47,3,77,58
400,47,4,70,46
401,47,5,71,47
402,47,6,71,39
403,47,7,71,39
404,47,8,70,41
405,47,9,69,41
406,48,1,72,77
407,48,2,73,76
408,48,3,74,77
409,48,4,74,78
410,48,5,75,78
411,48,6,76,79
412,48,7,78,80
413,48,8,78,79
414,48,9,78,
