Country_Key,Country_Name
1,Australia
2,Austria
3,Belgium
4,Brazil
5,Bulgaria
6,Canada
7,Chile
8,Colombia
9,Costa Rica
10,Croatia
11,Czechia
12,Denmark
13,Estonia
14,Finland
15,France
16,Germany
17,Greece
18,Hungary
19,Iceland
20,Ireland
21,Israel
22,Italy
23,Japan
24,Korea
25,Latvia
26,Lithuania
27,Luxembourg
28,Mexico
29,Netherlands
30,New Zealand
31,Norway
32,OECD
33,Peru
34,Poland
35,Portugal
36,Romania
37,Slovak Republic
38,Slovenia
39,Spain
40,Sweden
41,Switzerland
42,Thailand
43,Türkiye
44,United Kingdom
45,United States
