TelecomFact_ID,Country_Key,Time_Key,NetworkTypeKey,NetworkAccessKey,Telecom_Key,Unit_Key,MeasureValue
1829,1,1,1,2,2,2,937000.0
1225,1,1,1,3,2,2,5242080.0
2833,1,1,1,6,2,2,1629920.0
3848,1,1,1,7,2,2,217000.0
3437,1,1,1,11,2,2,132000.0
1,1,1,1,12,2,2,8158000.0
4348,1,1,2,4,2,2,26981000.0
4960,1,1,2,5,2,2,6561000.0
613,1,1,2,12,2,2,33542000.0
1830,1,2,1,2,2,2,1512027.0
1226,1,2,1,3,2,2,4869033.0
2834,1,2,1,6,2,2,1637826.0
3849,1,2,1,7,2,2,269020.0
3438,1,2,1,11,2,2,135551.0
2,1,2,1,12,2,2,8423457.0
4349,1,2,2,4,2,2,24298000.0
4961,1,2,2,5,2,2,7970000.0
6228,1,2,2,9,1,1,4.64
614,1,2,2,12,2,2,32268000.0
1831,1,3,1,2,2,2,1734855.0
1227,1,3,1,3,2,2,4872008.0
2835,1,3,1,6,2,2,1675767.0
3850,1,3,1,7,2,2,289603.0
3439,1,3,1,11,2,2,130077.0
3,1,3,1,12,2,2,8702310.0
4350,1,3,2,4,2,2,27535000.0
4962,1,3,2,5,2,2,5227000.0
615,1,3,2,12,2,2,32762000.0
1832,1,4,1,2,2,2,1927303.0
1228,1,4,1,3,2,2,4688393.0
2836,1,4,1,6,2,2,1756595.0
3851,1,4,1,7,2,2,304317.0
3440,1,4,1,11,2,2,125992.0
4,1,4,1,12,2,2,8802600.0
4351,1,4,2,4,2,2,27969000.0
4963,1,4,2,5,2,2,4776000.0
6229,1,4,2,9,1,1,7.6
616,1,4,2,12,2,2,32745000.0
1833,1,5,1,2,2,2,2050884.0
1229,1,5,1,3,2,2,4599132.0
2837,1,5,1,6,2,2,1872202.0
3852,1,5,1,7,2,2,324910.0
3441,1,5,1,11,2,2,128689.0
5,1,5,1,12,2,2,8975817.0
4352,1,5,2,4,2,2,27452000.0
4964,1,5,2,5,2,2,4794000.0
617,1,5,2,12,2,2,32246000.0
1834,1,6,1,2,2,2,2094249.0
1230,1,6,1,3,2,2,4558101.0
2838,1,6,1,6,2,2,1974936.0
3853,1,6,1,7,2,2,345455.0
3442,1,6,1,11,2,2,126878.0
6,1,6,1,12,2,2,9099619.0
4353,1,6,2,4,2,2,27013000.0
4965,1,6,2,5,2,2,4627000.0
6230,1,6,2,9,1,1,9.26
618,1,6,2,12,2,2,31640000.0
1835,1,7,1,2,2,2,2042323.0
1231,1,7,1,3,2,2,4499951.0
2839,1,7,1,6,2,2,2056543.0
3854,1,7,1,7,2,2,363180.0
3443,1,7,1,11,2,2,122682.0
7,1,7,1,12,2,2,9084679.0
4354,1,7,2,4,2,2,27092000.0
4966,1,7,2,5,2,2,4577000.0
619,1,7,2,12,2,2,31669000.0
1836,1,8,1,2,2,2,2036070.0
1232,1,8,1,3,2,2,4471382.0
2840,1,8,1,6,2,2,2131860.0
3855,1,8,1,7,2,2,380768.0
3444,1,8,1,11,2,2,144580.0
8,1,8,1,12,2,2,9164660.0
4355,1,8,2,4,2,2,27286000.0
4967,1,8,2,5,2,2,4341000.0
5707,1,8,2,8,2,2,5215000.0
6231,1,8,2,9,1,1,11.16
620,1,8,2,12,2,2,31627000.0
1837,1,9,1,2,2,2,2049286.0
1233,1,9,1,3,2,2,4420106.0
2841,1,9,1,6,2,2,2208965.0
3856,1,9,1,7,2,2,393916.0
3445,1,9,1,11,2,2,141737.0
9,1,9,1,12,2,2,9214010.0
4356,1,9,2,4,2,2,28018000.0
4968,1,9,2,5,2,2,4376000.0
5708,1,9,2,8,2,2,5786000.0
621,1,9,2,12,2,2,32394000.0
1838,1,10,1,2,2,2,2038168.0
1234,1,10,1,3,2,2,4333242.0
2842,1,10,1,6,2,2,2245066.0
3857,1,10,1,7,2,2,816682.0
3446,1,10,1,11,2,2,102250.0
10,1,10,1,12,2,2,9535408.0
4357,1,10,2,4,2,2,28681000.0
4969,1,10,2,5,2,2,4393000.0
5709,1,10,2,8,2,2,6454000.0
6232,1,10,2,9,1,1,6.0
622,1,10,2,12,2,2,33074000.0
1839,1,11,1,2,2,2,2037099.0
1235,1,11,1,3,2,2,4243307.0
2843,1,11,1,6,2,2,2329996.0
3858,1,11,1,7,2,2,871904.0
3447,1,11,1,11,2,2,91765.0
11,1,11,1,12,2,2,9574071.0
4358,1,11,2,4,2,2,29130000.0
4970,1,11,2,5,2,2,4304000.0
5710,1,11,2,8,2,2,7270000.0
6233,1,11,2,9,1,1,6.49
623,1,11,2,12,2,2,33434000.0
1840,1,12,1,2,2,2,2029760.0
1236,1,12,1,3,2,2,4112162.0
2844,1,12,1,6,2,2,2530001.0
3859,1,12,1,7,2,2,921366.0
3448,1,12,1,11,2,2,95077.0
12,1,12,1,12,2,2,9688366.0
4359,1,12,2,4,2,2,29736000.0
4971,1,12,2,5,2,2,4213000.0
5711,1,12,2,8,2,2,8000000.0
6234,1,12,2,9,1,1,6.88
624,1,12,2,12,2,2,33949000.0
1841,1,13,1,2,2,2,2025428.0
1237,1,13,1,3,2,2,3912276.0
2845,1,13,1,6,2,2,2760463.0
3860,1,13,1,7,2,2,957675.0
3449,1,13,1,11,2,2,90822.0
13,1,13,1,12,2,2,9746664.0
4360,1,13,2,4,2,2,30136000.0
4972,1,13,2,5,2,2,4164000.0
6235,1,13,2,9,1,1,7.14
625,1,13,2,12,2,2,34300000.0
1842,1,14,1,2,2,2,2015245.0
1238,1,14,1,3,2,2,3673695.0
2846,1,14,1,6,2,2,3000152.0
3861,1,14,1,7,2,2,1012729.0
3450,1,14,1,11,2,2,86440.0
14,1,14,1,12,2,2,9788261.0
4361,1,14,2,4,2,2,30375000.0
4973,1,14,2,5,2,2,4093000.0
6236,1,14,2,9,1,1,7.36
626,1,14,2,12,2,2,34468000.0
1843,2,1,1,2,2,2,861600.0
1239,2,1,1,3,2,2,1552500.0
2847,2,1,1,6,2,2,56500.0
3862,2,1,1,7,2,2,28400.0
2400,2,1,1,10,2,2,500.0
15,2,1,1,12,2,2,2499500.0
4362,2,1,2,4,2,2,5472307.0
4974,2,1,2,5,2,2,2139968.0
5712,2,1,2,8,2,2,2670000.0
6237,2,1,2,9,1,1,15.37
627,2,1,2,12,2,2,7612275.0
1844,2,2,1,2,2,2,870722.0
1240,2,2,1,3,2,2,1559060.0
2848,2,2,1,6,2,2,62855.0
3863,2,2,1,7,2,2,28242.0
2401,2,2,1,10,2,2,500.0
16,2,2,1,12,2,2,2521379.0
4363,2,2,2,4,2,2,5657891.0
4975,2,2,2,5,2,2,2161508.0
5713,2,2,2,8,2,2,3321448.0
6238,2,2,2,9,1,1,16.4
628,2,2,2,12,2,2,7819399.0
1845,2,3,1,2,2,2,877956.0
1241,2,3,1,3,2,2,1539690.0
2849,2,3,1,6,2,2,67371.0
3864,2,3,1,7,2,2,28066.0
2402,2,3,1,10,2,2,616.0
17,2,3,1,12,2,2,2513699.0
4364,2,3,2,4,2,2,7362492.0
4976,2,3,2,5,2,2,2287748.0
5714,2,3,2,8,2,2,4257942.0
6239,2,3,2,9,1,1,17.94
629,2,3,2,12,2,2,9650240.0
1846,2,4,1,2,2,2,886198.0
1242,2,4,1,3,2,2,1529724.0
2850,2,4,1,6,2,2,75278.0
3865,2,4,1,7,2,2,27859.0
2403,2,4,1,10,2,2,662.0
18,2,4,1,12,2,2,2519721.0
4365,2,4,2,4,2,2,7657768.0
4977,2,4,2,5,2,2,2270874.0
5715,2,4,2,8,2,2,4994391.0
6240,2,4,2,9,1,1,18.77
630,2,4,2,12,2,2,9928642.0
1847,2,5,1,2,2,2,915801.0
1243,2,5,1,3,2,2,1498589.0
2851,2,5,1,6,2,2,108943.0
3866,2,5,1,7,2,2,9850.0
2404,2,5,1,10,2,2,1161.0
19,2,5,1,12,2,2,2534344.0
4366,2,5,2,4,2,2,7721416.0
4978,2,5,2,5,2,2,2157075.0
5716,2,5,2,8,2,2,5465124.0
6241,2,5,2,9,1,1,21.78
631,2,5,2,12,2,2,9878491.0
1848,2,6,1,2,2,2,936214.0
1244,2,6,1,3,2,2,1469851.0
2852,2,6,1,6,2,2,133100.0
3867,2,6,1,7,2,2,13618.0
2405,2,6,1,10,2,2,1927.0
20,2,6,1,12,2,2,2554710.0
4367,2,6,2,4,2,2,7952238.0
4979,2,6,2,5,2,2,2197389.0
5717,2,6,2,8,2,2,6243024.0
6242,2,6,2,9,1,1,22.74
632,2,6,2,12,2,2,10149627.0
1849,2,7,1,2,2,2,964000.0
1245,2,7,1,3,2,2,1440456.0
2853,2,7,1,6,2,2,150557.0
3868,2,7,1,7,2,2,14012.0
2406,2,7,1,10,2,2,3486.0
21,2,7,1,12,2,2,2572511.0
4368,2,7,2,4,2,2,8102768.0
4980,2,7,2,5,2,2,2169955.0
5718,2,7,2,8,2,2,7358550.0
6243,2,7,2,9,1,1,26.15
633,2,7,2,12,2,2,10272723.0
1850,2,8,1,2,2,2,978564.0
1246,2,8,1,3,2,2,1448463.0
2854,2,8,1,6,2,2,179804.0
3869,2,8,1,7,2,2,14455.0
2407,2,8,1,10,2,2,2068.0
22,2,8,1,12,2,2,2623354.0
4369,2,8,2,4,2,2,8379946.0
4981,2,8,2,5,2,2,2217461.0
5719,2,8,2,8,2,2,8441606.0
6244,2,8,2,9,1,1,26.35
634,2,8,2,12,2,2,10597407.0
1851,2,9,1,2,2,2,959720.0
1247,2,9,1,3,2,2,1435611.0
2855,2,9,1,6,2,2,201254.0
3870,2,9,1,7,2,2,15629.0
2408,2,9,1,10,2,2,4611.0
3451,2,9,1,11,2,2,1142.0
23,2,9,1,12,2,2,2617967.0
4370,2,9,2,4,2,2,8370598.0
4982,2,9,2,5,2,2,2252195.0
5720,2,9,2,8,2,2,9305767.0
6245,2,9,2,9,1,1,28.86
635,2,9,2,12,2,2,10622793.0
1852,2,10,1,2,2,2,998845.0
1248,2,10,1,3,2,2,1393280.0
2856,2,10,1,6,2,2,241940.0
3871,2,10,1,7,2,2,15154.0
2409,2,10,1,10,2,2,2114.0
3452,2,10,1,11,2,2,1765.0
24,2,10,1,12,2,2,2653098.0
5518,2,10,2,1,2,2,787968.0
4371,2,10,2,4,2,2,8566480.0
4983,2,10,2,5,2,2,2308199.0
5721,2,10,2,8,2,2,14388296.0
6246,2,10,2,9,1,1,29.79
636,2,10,2,12,2,2,10874679.0
1853,2,11,1,2,2,2,968961.0
1249,2,11,1,3,2,2,1387861.0
2857,2,11,1,6,2,2,281950.0
3872,2,11,1,7,2,2,15543.0
2410,2,11,1,10,2,2,6101.0
3453,2,11,1,11,2,2,2390.0
25,2,11,1,12,2,2,2662806.0
5519,2,11,2,1,2,2,1302976.0
4372,2,11,2,4,2,2,9045288.0
4984,2,11,2,5,2,2,2330468.0
5722,2,11,2,8,2,2,16222704.0
6247,2,11,2,9,1,1,33.33
637,2,11,2,12,2,2,11375756.0
1854,2,12,1,2,2,2,977737.0
1250,2,12,1,3,2,2,1384921.0
2858,2,12,1,6,2,2,307232.0
3873,2,12,1,7,2,2,15413.0
2411,2,12,1,10,2,2,7071.0
3454,2,12,1,11,2,2,3427.0
26,2,12,1,12,2,2,2695801.0
5520,2,12,2,1,2,2,1813889.0
4373,2,12,2,4,2,2,9147142.0
4985,2,12,2,5,2,2,2341952.0
5723,2,12,2,8,2,2,19106991.0
6248,2,12,2,9,1,1,34.28
638,2,12,2,12,2,2,11489094.0
1855,2,13,1,2,2,2,984859.0
1251,2,13,1,3,2,2,1375879.0
2859,2,13,1,6,2,2,323980.0
3874,2,13,1,7,2,2,15045.0
2412,2,13,1,10,2,2,4632.0
3455,2,13,1,11,2,2,6066.0
27,2,13,1,12,2,2,2710461.0
5521,2,13,2,1,2,2,2666255.0
4374,2,13,2,4,2,2,9251882.0
4986,2,13,2,5,2,2,2639066.0
5724,2,13,2,8,2,2,21257218.0
6249,2,13,2,9,1,1,36.63
639,2,13,2,12,2,2,11890948.0
1856,2,14,1,2,2,2,1036706.0
1252,2,14,1,3,2,2,1316356.0
2860,2,14,1,6,2,2,374728.0
3875,2,14,1,7,2,2,15604.0
2413,2,14,1,10,2,2,6923.0
3456,2,14,1,11,2,2,8765.0
28,2,14,1,12,2,2,2759082.0
5522,2,14,2,1,2,2,3303365.0
4375,2,14,2,4,2,2,9276835.0
4987,2,14,2,5,2,2,2770206.0
5725,2,14,2,8,2,2,23803156.0
6250,2,14,2,9,1,1,36.74
640,2,14,2,12,2,2,12047041.0
1857,3,1,1,2,2,2,2286801.0
1253,3,1,1,3,2,2,2094562.0
2861,3,1,1,6,2,2,24714.0
2414,3,1,1,10,2,2,5248.0
29,3,1,1,12,2,2,4411325.0
4376,3,1,2,4,2,2,7865406.0
4988,3,1,2,5,2,2,711213.0
5726,3,1,2,8,2,2,2184388.0
6251,3,1,2,9,1,1,1.57
641,3,1,2,12,2,2,8576619.0
1858,3,2,1,2,2,2,2339840.0
1254,3,2,1,3,2,2,2126179.0
2862,3,2,1,6,2,2,32464.0
2415,3,2,1,10,2,2,4467.0
30,3,2,1,12,2,2,4502950.0
4377,3,2,2,4,2,2,8122930.0
4989,3,2,2,5,2,2,578128.0
5727,3,2,2,8,2,2,2466416.0
6252,3,2,2,9,1,1,1.81
642,3,2,2,12,2,2,8701058.0
1859,3,3,1,2,2,2,2371953.0
1255,3,3,1,3,2,2,2122216.0
2863,3,3,1,6,2,2,44473.0
2416,3,3,1,10,2,2,3976.0
31,3,3,1,12,2,2,4542618.0
4378,3,3,2,4,2,2,8356437.0
4990,3,3,2,5,2,2,591812.0
5728,3,3,2,8,2,2,2838368.0
6253,3,3,2,9,1,1,2.48
643,3,3,2,12,2,2,8948249.0
1860,3,4,1,2,2,2,2409042.0
1256,3,4,1,3,2,2,2123131.0
2864,3,4,1,6,2,2,47868.0
2417,3,4,1,10,2,2,12993.0
32,3,4,1,12,2,2,4593034.0
4379,3,4,2,4,2,2,9442929.0
4991,3,4,2,5,2,2,594282.0
5729,3,4,2,8,2,2,3103522.0
6254,3,4,2,9,1,1,2.66
644,3,4,2,12,2,2,10037211.0
1861,3,5,1,2,2,2,2485382.0
1257,3,5,1,3,2,2,2129612.0
2865,3,5,1,6,2,2,59221.0
2418,3,5,1,10,2,2,12849.0
33,3,5,1,12,2,2,4687064.0
4380,3,5,2,4,2,2,9400862.0
4992,3,5,2,5,2,2,635730.0
5730,3,5,2,8,2,2,3672350.0
6255,3,5,2,9,1,1,3.21
645,3,5,2,12,2,2,10036592.0
1862,3,6,1,2,2,2,2533175.0
1258,3,6,1,3,2,2,2142279.0
2866,3,6,1,6,2,2,77547.0
2419,3,6,1,10,2,2,12849.0
34,3,6,1,12,2,2,4765850.0
4381,3,6,2,4,2,2,9695925.0
4993,3,6,2,5,2,2,642018.0
5731,3,6,2,8,2,2,4089624.0
6256,3,6,2,9,1,1,3.41
646,3,6,2,12,2,2,10337943.0
1863,3,7,1,2,2,2,2533591.0
1259,3,7,1,3,2,2,2138796.0
2867,3,7,1,6,2,2,103624.0
2420,3,7,1,10,2,2,12731.0
35,3,7,1,12,2,2,4788742.0
4382,3,7,2,4,2,2,9808068.0
4994,3,7,2,5,2,2,634393.0
5732,3,7,2,8,2,2,4925824.0
6257,3,7,2,9,1,1,3.67
647,3,7,2,12,2,2,10442461.0
1864,3,8,1,2,2,2,2615375.0
1260,3,8,1,3,2,2,2120740.0
2868,3,8,1,6,2,2,139880.0
3876,3,8,1,7,2,2,88258.0
2421,3,8,1,10,2,2,12834.0
3457,3,8,1,11,2,2,899.0
36,3,8,1,12,2,2,4977986.0
4383,3,8,2,4,2,2,10146573.0
4995,3,8,2,5,2,2,675776.0
5733,3,8,2,8,2,2,5456735.0
6258,3,8,2,9,1,1,4.1
648,3,8,2,12,2,2,10822349.0
1865,3,9,1,2,2,2,2635032.0
1261,3,9,1,3,2,2,2089652.0
2869,3,9,1,6,2,2,193742.0
3877,3,9,1,7,2,2,85012.0
2422,3,9,1,10,2,2,12546.0
3458,3,9,1,11,2,2,1130.0
37,3,9,1,12,2,2,5017114.0
4384,3,9,2,4,2,2,10277592.0
4996,3,9,2,5,2,2,762853.0
