R&D_ID,R&D_Key,Country_Key,Time_Key,ExpenditureAmount,ResearcherNumber
1,1,1,1,76,55
2,1,2,1,53,
3,1,1,2,73,56
4,1,1,3,71,57
5,1,2,3,53,
6,1,1,4,65,57
7,1,1,5,61,56
8,1,1,6,58,56
9,1,1,7,58,56
10,1,1,8,58,56
11,1,1,9,55,56
12,1,2,5,51,
13,1,2,7,53,
14,1,3,1,71,64
15,1,3,2,70,63
16,1,3,3,70,63
17,1,3,4,70,63
18,1,3,5,70,64
19,1,3,6,70,63
20,1,3,7,69,64
21,1,3,8,69,64
22,1,3,9,69,65
23,1,4,1,70,54
24,1,4,2,69,54
25,1,4,3,70,54
26,1,4,4,72,54
27,1,4,5,74,56
28,1,4,6,74,56
29,1,4,7,75,56
30,1,4,8,72,55
31,1,4,9,72,55
32,1,5,1,73,56
33,1,5,2,73,59
34,1,5,3,70,58
35,1,5,4,72,57
36,1,5,5,67,56
37,1,5,6,68,57
38,1,5,7,66,57
39,1,5,8,68,57
40,1,5,9,64,58
41,1,6,1,53,59
42,1,6,2,53,58
43,1,6,3,53,58
44,1,6,4,54,60
45,1,6,5,54,61
46,1,6,6,55,62
47,1,6,7,59,63
48,1,6,8,59,63
49,1,6,9,59,
50,1,6,10,60,
51,1,7,1,43,49
52,1,7,2,45,48
53,1,7,3,47,50
54,1,7,4,48,50
55,1,7,5,49,52
56,1,7,6,48,51
57,1,7,7,43,44
58,1,7,8,42,42
59,1,8,1,77,63
60,1,8,2,77,62
61,1,8,3,78,61
62,1,8,4,77,61
63,1,8,5,76,58
64,1,8,6,77,58
65,1,8,7,78,58
66,1,8,8,79,58
67,1,8,9,79,59
68,1,9,1,78,69
69,1,9,2,78,70
70,1,9,3,79,70
71,1,9,4,80,71
72,1,9,5,81,71
73,1,9,6,83,72
74,1,9,7,84,73
75,1,9,8,85,74
76,1,9,9,85,75
77,1,10,1,48,
78,1,10,2,41,
79,1,10,3,38,
80,1,10,4,45,
81,1,10,5,49,
82,1,10,6,53,
83,1,11,1,58,46
84,1,11,2,58,56
85,1,11,3,59,63
86,1,11,4,60,58
87,1,11,6,59,55
88,1,11,7,58,52
89,1,11,8,,46
90,1,11,9,,44
91,1,12,1,51,56
92,1,12,2,46,55
93,1,12,3,48,56
94,1,12,4,48,55
95,1,12,5,49,55
96,1,12,6,48,57
97,1,12,7,47,57
98,1,12,8,54,57
99,1,12,9,55,57
100,1,13,1,54,50
101,1,13,2,61,51
102,1,13,3,63,52
103,1,13,4,62,51
104,1,13,5,62,51
105,1,13,6,61,51
106,1,13,7,63,53
107,1,13,8,64,54
108,1,13,9,65,55
109,1,14,1,63,58
110,1,14,2,65,60
111,1,14,3,63,59
112,1,14,4,63,58
113,1,14,5,62,58
114,1,14,6,62,58
115,1,14,7,62,56
116,1,14,8,61,58
117,1,14,9,62,59
118,1,15,1,46,61
119,1,15,2,51,61
120,1,15,3,47,61
121,1,15,4,45,66
122,1,15,5,53,66
123,1,15,6,55,68
124,1,15,7,56,68
125,1,15,8,56,64
126,1,15,9,58,63
127,1,16,1,64,52
128,1,16,2,65,53
