Country_Key,Country_Name
1,Algeria
2,Andorra
3,Argentina
4,Armenia
5,Australia
6,Austria
7,Belarus
8,Belgium
9,Bermuda
10,Bosnia and Herzegovina
11,Brazil
12,Bulgaria
13,Canada
14,Cayman Islands
15,Chile
16,China (People’s Republic of)
17,Chinese Taipei
18,Colombia
19,Costa Rica
20,Croatia
21,Cuba
22,Cyprus
23,Czechia
24,Democratic People’s Republic of Korea
25,Denmark
26,Djibouti
27,Ecuador
28,Egypt
29,El Salvador
30,Estonia
31,European Union (27 countries from 01/02/2020)
32,"European Union (27 countries, from 2020)"
33,Finland
34,Former Yugoslavia
35,France
36,Georgia
37,Germany
38,Greece
39,Guatemala
40,Hong Kong (China)
41,Hungary
42,Iceland
43,India
44,Indonesia
45,Iran
46,Ireland
47,Israel
48,Italy
49,Jamaica
50,Japan
51,Jordan
52,Kazakhstan
53,Kenya
54,Korea
55,Kuwait
56,Latvia
57,Lebanon
58,Liechtenstein
59,Lithuania
60,Luxembourg
61,Malaysia
62,Malta
63,Mexico
64,Moldova
65,Monaco
66,Mongolia
67,Montenegro
68,Morocco
69,Netherlands
70,New Zealand
71,Nigeria
72,North Macedonia
73,Norway
74,OECD
75,Pakistan
76,Panama
77,Peru
78,Philippines
79,Poland
80,Portugal
81,Puerto Rico
82,Romania
83,Russia
84,Saudi Arabia
85,Seychelles
86,Singapore
87,Slovak Republic
88,Slovakia
89,Slovenia
90,South Africa
91,Spain
92,Sri Lanka
93,Sweden
94,Switzerland
95,Thailand
96,Trinidad and Tobago
97,Tunisia
98,Turkey
99,Türkiye
100,Ukraine
101,United Arab Emirates
102,United Kingdom
103,United States
104,Uruguay
105,Uzbekistan
106,Venezuela
107,World
108,Zimbabwe
