R&D_ID,Country_Key,Time_Key,ExpenditureAmount,ResearcherNumber
1,3,1,76.0,55.0
2,5,1,53.0,
3,3,2,73.0,56.0
4,3,3,71.0,57.0
5,5,3,53.0,
6,3,4,65.0,57.0
7,3,7,61.0,56.0
8,3,10,58.0,56.0
9,3,13,58.0,56.0
10,3,16,58.0,56.0
11,3,19,55.0,56.0
12,5,7,51.0,
13,5,13,53.0,
14,6,1,71.0,64.0
15,6,2,70.0,63.0
16,6,3,70.0,63.0
17,6,4,70.0,63.0
18,6,7,70.0,64.0
19,6,10,70.0,63.0
20,6,13,69.0,64.0
21,6,16,69.0,64.0
22,6,19,69.0,65.0
23,8,1,70.0,54.0
24,8,2,69.0,54.0
25,8,3,70.0,54.0
26,8,4,72.0,54.0
27,8,7,74.0,56.0
28,8,10,74.0,56.0
29,8,13,75.0,56.0
30,8,16,72.0,55.0
31,8,19,72.0,55.0
32,12,1,73.0,56.0
33,12,2,73.0,59.0
34,12,3,70.0,58.0
35,12,4,72.0,57.0
36,12,7,67.0,56.0
37,12,10,68.0,57.0
38,12,13,66.0,57.0
39,12,16,68.0,57.0
40,12,19,64.0,58.0
41,13,1,53.0,59.0
42,13,2,53.0,58.0
43,13,3,53.0,58.0
44,13,4,54.0,60.0
45,13,7,54.0,61.0
46,13,10,55.0,62.0
47,13,13,59.0,63.0
48,13,16,59.0,63.0
49,13,19,59.0,
50,13,22,60.0,
51,15,1,43.0,49.0
52,15,2,45.0,48.0
53,15,3,47.0,50.0
54,15,4,48.0,50.0
55,15,7,49.0,52.0
56,15,10,48.0,51.0
57,15,13,43.0,44.0
58,15,16,42.0,42.0
59,94,1,77.0,63.0
60,94,2,77.0,62.0
61,94,3,78.0,61.0
62,94,4,77.0,61.0
63,94,7,76.0,58.0
64,94,10,77.0,58.0
65,94,13,78.0,58.0
66,94,16,79.0,58.0
67,94,19,79.0,59.0
68,17,1,78.0,69.0
69,17,2,78.0,70.0
70,17,3,79.0,70.0
71,17,4,80.0,71.0
72,17,7,81.0,71.0
73,17,10,83.0,72.0
74,17,13,84.0,73.0
75,17,16,85.0,74.0
76,17,19,85.0,75.0
77,18,1,48.0,
78,18,2,41.0,
79,18,3,38.0,
80,18,4,45.0,
81,18,7,49.0,
82,18,10,53.0,
83,19,1,58.0,46.0
84,19,2,58.0,56.0
85,19,3,59.0,63.0
86,19,4,60.0,58.0
87,19,10,59.0,55.0
88,19,13,58.0,52.0
89,19,16,,46.0
90,19,19,,44.0
91,20,1,51.0,56.0
92,20,2,46.0,55.0
93,20,3,48.0,56.0
94,20,4,48.0,55.0
95,20,7,49.0,55.0
96,20,10,48.0,57.0
97,20,13,47.0,57.0
98,20,16,54.0,57.0
99,20,19,55.0,57.0
100,23,1,54.0,50.0
101,23,2,61.0,51.0
102,23,3,63.0,52.0
103,23,4,62.0,51.0
104,23,7,62.0,51.0
105,23,10,61.0,51.0
106,23,13,63.0,53.0
107,23,16,64.0,54.0
108,23,19,65.0,55.0
109,25,1,63.0,58.0
110,25,2,65.0,60.0
111,25,3,63.0,59.0
112,25,4,63.0,58.0
113,25,7,62.0,58.0
114,25,10,62.0,58.0
115,25,13,62.0,56.0
116,25,16,61.0,58.0
117,25,19,62.0,59.0
118,30,1,46.0,61.0
119,30,2,51.0,61.0
120,30,3,47.0,61.0
121,30,4,45.0,66.0
122,30,7,53.0,66.0
123,30,10,55.0,68.0
124,30,13,56.0,68.0
125,30,16,56.0,64.0
126,30,19,58.0,63.0
127,32,1,64.0,52.0
128,32,2,65.0,53.0
129,32,3,66.0,54.0
130,32,4,66.0,55.0
131,32,7,66.0,55.0
132,32,10,65.0,55.0
133,32,13,66.0,55.0
134,32,16,66.0,56.0
135,32,19,66.0,56.0
136,33,1,67.0,57.0
137,33,2,66.0,56.0
138,33,3,65.0,55.0
139,33,4,66.0,56.0
140,33,7,66.0,57.0
141,33,10,67.0,59.0
142,33,13,69.0,62.0
143,33,16,68.0,60.0
144,33,19,68.0,60.0
145,35,1,65.0,60.0
146,35,2,65.0,60.0
147,35,3,65.0,61.0
148,35,4,66.0,62.0
149,35,7,66.0,62.0
150,35,10,66.0,62.0
151,35,13,66.0,62.0
152,35,16,66.0,62.0
153,35,19,66.0,62.0
154,37,1,69.0,59.0
155,37,2,68.0,59.0
156,37,3,69.0,60.0
157,37,4,69.0,60.0
158,37,7,69.0,61.0
159,37,10,67.0,60.0
160,37,13,67.0,60.0
161,37,16,67.0,61.0
162,37,19,68.0,63.0
163,38,1,53.0,64.0
164,38,2,43.0,59.0
165,38,3,49.0,51.0
166,38,4,48.0,51.0
167,38,7,46.0,52.0
168,38,10,46.0,53.0
169,38,13,47.0,51.0
170,38,16,49.0,52.0
171,38,19,49.0,50.0
172,41,1,73.0,59.0
173,41,2,74.0,59.0
174,41,3,73.0,62.0
175,41,4,76.0,57.0
176,41,7,75.0,58.0
177,41,10,76.0,59.0
178,41,13,75.0,61.0
179,41,16,72.0,60.0
180,41,19,73.0,63.0
181,42,1,66.0,
182,42,2,64.0,
183,42,3,64.0,53.0
184,42,4,64.0,53.0
185,42,7,69.0,
186,42,10,68.0,
187,42,13,72.0,56.0
188,42,16,72.0,
189,42,19,75.0,50.0
190,46,1,72.0,52.0
191,46,2,72.0,52.0
192,46,3,74.0,51.0
193,46,4,77.0,54.0
194,46,7,79.0,53.0
195,46,10,79.0,52.0
196,46,13,80.0,50.0
197,46,16,88.0,53.0
198,46,19,86.0,51.0
199,47,1,85.0,
200,47,2,87.0,
201,47,3,88.0,
202,47,4,88.0,
203,47,7,90.0,
204,47,10,91.0,
205,47,13,92.0,
206,47,16,93.0,
207,47,19,93.0,
208,48,1,58.0,48.0
209,48,2,61.0,48.0
210,48,3,62.0,48.0
211,48,4,63.0,48.0
212,48,7,63.0,49.0
213,48,10,62.0,49.0
214,48,13,60.0,50.0
215,48,16,60.0,50.0
216,48,19,58.0,43.0
217,50,1,78.0,73.0
218,50,2,79.0,73.0
219,50,3,79.0,74.0
220,50,4,79.0,74.0
221,50,7,79.0,74.0
222,50,10,79.0,75.0
223,50,13,79.0,75.0
224,50,16,79.0,75.0
225,50,19,79.0,75.0
226,54,1,78.0,80.0
227,54,2,78.0,80.0
228,54,3,79.0,81.0
229,54,4,80.0,82.0
230,54,7,80.0,82.0
231,54,10,79.0,82.0
232,54,13,79.0,83.0
233,54,16,79.0,83.0
234,54,19,79.0,82.0
235,56,1,50.0,64.0
236,56,2,48.0,62.0
237,56,3,47.0,65.0
238,56,4,52.0,64.0
239,56,7,55.0,64.0
240,56,10,47.0,64.0
241,56,13,44.0,60.0
242,56,16,46.0,57.0
243,56,19,44.0,55.0
244,59,1,56.0,59.0
245,59,2,39.0,59.0
246,59,3,37.0,55.0
247,59,4,42.0,55.0
248,59,7,43.0,55.0
249,59,10,47.0,56.0
250,59,13,49.0,56.0
251,59,16,50.0,56.0
252,59,19,43.0,57.0
253,60,1,53.0,40.0
254,60,2,55.0,43.0
255,60,3,56.0,43.0
256,60,4,53.0,40.0
257,60,7,54.0,41.0
258,60,10,50.0,41.0
259,60,13,51.0,44.0
260,60,16,49.0,43.0
261,60,19,50.0,45.0
262,63,1,80.0,49.0
263,63,2,78.0,44.0
264,63,3,77.0,43.0
265,69,1,64.0,67.0
266,69,2,66.0,68.0
267,69,3,66.0,69.0
268,69,4,66.0,70.0
269,69,7,67.0,69.0
270,69,10,67.0,69.0
271,69,13,66.0,69.0
272,69,16,68.0,71.0
273,69,19,69.0,71.0
274,70,1,51.0,64.0
275,70,3,54.0,54.0
276,70,7,58.0,57.0
277,70,13,60.0,46.0
278,70,19,63.0,50.0
279,73,1,54.0,49.0
280,73,2,53.0,48.0
281,73,3,53.0,49.0
282,73,4,52.0,50.0
283,73,7,53.0,50.0
284,73,10,54.0,51.0
285,73,13,54.0,51.0
286,73,16,55.0,52.0
287,73,19,57.0,54.0
288,74,1,69.0,62.0
289,74,2,70.0,62.0
290,74,3,71.0,63.0
291,74,4,71.0,64.0
292,74,7,72.0,65.0
293,74,10,72.0,65.0
294,74,13,73.0,66.0
295,74,16,73.0,66.0
296,74,19,74.0,
297,79,1,47.0,49.0
298,79,2,66.0,58.0
299,79,3,64.0,53.0
300,79,4,66.0,54.0
301,79,7,63.0,59.0
302,79,10,63.0,56.0
303,79,13,63.0,55.0
304,79,16,66.0,56.0
305,79,19,65.0,56.0
306,80,1,46.0,65.0
307,80,2,48.0,63.0
308,80,3,50.0,61.0
309,80,4,51.0,61.0
310,80,7,52.0,60.0
311,80,10,57.0,61.0
312,80,13,60.0,61.0
313,80,16,62.0,61.0
314,80,19,63.0,62.0
315,82,1,44.0,49.0
316,82,2,55.0,49.0
317,82,3,57.0,49.0
318,82,4,59.0,50.0
319,82,7,58.0,50.0
320,82,10,59.0,50.0
321,82,13,60.0,52.0
322,82,16,62.0,51.0
323,82,19,62.0,52.0
324,83,1,70.0,46.0
325,83,2,68.0,47.0
326,83,3,66.0,47.0
327,83,4,67.0,46.0
328,83,7,66.0,48.0
329,83,10,68.0,47.0
330,86,1,59.0,50.0
331,86,2,58.0,49.0
332,86,3,59.0,50.0
333,86,4,60.0,51.0
334,86,7,61.0,52.0
335,86,10,63.0,54.0
336,86,13,64.0,51.0
337,86,16,64.0,54.0
338,88,1,44.0,59.0
339,88,2,50.0,58.0
340,88,3,54.0,57.0
341,88,4,54.0,57.0
342,88,7,55.0,57.0
343,88,10,54.0,57.0
344,88,13,56.0,55.0
345,88,16,57.0,52.0
346,88,19,56.0,51.0
347,89,1,76.0,53.0
348,89,2,76.0,55.0
349,89,3,75.0,62.0
350,89,4,74.0,62.0
351,89,7,74.0,61.0
352,89,10,73.0,61.0
353,89,13,73.0,60.0
354,89,16,70.0,58.0
355,89,19,69.0,56.0
356,90,1,45.0,70.0
357,90,2,46.0,71.0
358,90,3,47.0,71.0
359,90,4,48.0,74.0
360,90,7,56.0,78.0
361,90,10,56.0,79.0
362,90,13,53.0,79.0
363,90,16,51.0,78.0
364,91,1,53.0,50.0
365,91,2,54.0,51.0
366,91,3,55.0,51.0
367,91,4,57.0,52.0
368,91,7,56.0,53.0
369,91,10,56.0,54.0
370,91,13,56.0,55.0
371,91,16,56.0,55.0
372,91,19,56.0,55.0
373,93,1,70.0,68.0
374,93,2,70.0,67.0
375,93,3,71.0,71.0
376,93,4,71.0,73.0
377,93,7,72.0,71.0
378,93,10,72.0,72.0
379,93,13,72.0,75.0
380,93,16,74.0,75.0
381,93,19,74.0,73.0
382,94,1,69.0,50.0
383,94,3,68.0,51.0
384,94,7,69.0,51.0
385,94,13,69.0,50.0
386,94,16,,42.0
387,94,19,69.0,49.0
388,98,1,49.0,50.0
389,98,2,50.0,51.0
390,98,3,50.0,53.0
391,98,4,53.0,57.0
392,98,7,56.0,57.0
393,98,10,56.0,58.0
394,98,13,61.0,59.0
395,98,16,61.0,62.0
396,98,19,65.0,64.0
397,102,1,76.0,59.0
398,102,2,77.0,58.0
399,102,3,77.0,58.0
400,102,4,70.0,46.0
401,102,7,71.0,47.0
402,102,10,71.0,39.0
403,102,13,71.0,39.0
404,102,16,70.0,41.0
405,102,19,69.0,41.0
406,103,1,72.0,77.0
407,103,2,73.0,76.0
408,103,3,74.0,77.0
409,103,4,74.0,78.0
410,103,7,75.0,78.0
411,103,10,76.0,79.0
412,103,13,78.0,80.0
413,103,16,78.0,79.0
414,103,19,78.0,
