TelecomFact_ID,Country_Key,Time_Key,NetworkTypeKey,NetworkAccessKey,Telecom_Key,Unit_Key,MeasureValue
1829,5,5,1,2,2,2,937000.0
1225,5,5,1,3,2,2,5242080.0
2833,5,5,1,6,2,2,1629920.0
3848,5,5,1,7,2,2,217000.0
3437,5,5,1,11,2,2,132000.0
1,5,5,1,12,2,2,8158000.0
4348,5,5,2,4,2,2,26981000.0
4960,5,5,2,5,2,2,6561000.0
613,5,5,2,12,2,2,33542000.0
1830,5,6,1,2,2,2,1512027.0
1226,5,6,1,3,2,2,4869033.0
2834,5,6,1,6,2,2,1637826.0
3849,5,6,1,7,2,2,269020.0
3438,5,6,1,11,2,2,135551.0
2,5,6,1,12,2,2,8423457.0
4349,5,6,2,4,2,2,24298000.0
4961,5,6,2,5,2,2,7970000.0
6228,5,6,2,9,1,1,4.64
614,5,6,2,12,2,2,32268000.0
1831,5,8,1,2,2,2,1734855.0
1227,5,8,1,3,2,2,4872008.0
2835,5,8,1,6,2,2,1675767.0
3850,5,8,1,7,2,2,289603.0
3439,5,8,1,11,2,2,130077.0
3,5,8,1,12,2,2,8702310.0
4350,5,8,2,4,2,2,27535000.0
4962,5,8,2,5,2,2,5227000.0
615,5,8,2,12,2,2,32762000.0
1832,5,9,1,2,2,2,1927303.0
1228,5,9,1,3,2,2,4688393.0
2836,5,9,1,6,2,2,1756595.0
3851,5,9,1,7,2,2,304317.0
3440,5,9,1,11,2,2,125992.0
4,5,9,1,12,2,2,8802600.0
4351,5,9,2,4,2,2,27969000.0
4963,5,9,2,5,2,2,4776000.0
6229,5,9,2,9,1,1,7.6
616,5,9,2,12,2,2,32745000.0
1833,5,11,1,2,2,2,2050884.0
1229,5,11,1,3,2,2,4599132.0
2837,5,11,1,6,2,2,1872202.0
3852,5,11,1,7,2,2,324910.0
3441,5,11,1,11,2,2,128689.0
5,5,11,1,12,2,2,8975817.0
4352,5,11,2,4,2,2,27452000.0
4964,5,11,2,5,2,2,4794000.0
617,5,11,2,12,2,2,32246000.0
1834,5,12,1,2,2,2,2094249.0
1230,5,12,1,3,2,2,4558101.0
2838,5,12,1,6,2,2,1974936.0
3853,5,12,1,7,2,2,345455.0
3442,5,12,1,11,2,2,126878.0
