Country_Name,Year,Quarter,YearQuarter,ICT_Type,ICTUsagePercentage,UnitOfMeasure,Breakdown
Austria,2018,,2018,Individuals using the Internet - last 3 months,87.4791,Percentage of population,Breakdown: From 16 to 74 years
Austria,2019,,2019,Individuals using the Internet - last 3 months,87.7522,Percentage of population,Breakdown: From 16 to 74 years
Austria,2020,,2020,Individuals using the Internet - last 3 months,87.5294,Percentage of population,Breakdown: From 16 to 74 years
Austria,2021,,2021,Individuals using the Internet - last 3 months,92.5291,Percentage of population,Breakdown: From 16 to 74 years
Austria,2022,,2022,Individuals using the Internet - last 3 months,93.6141,Percentage of population,Breakdown: From 16 to 74 years
Austria,2023,,2023,Individuals using the Internet - last 3 months,95.33470000000001,Percentage of population,Breakdown: From 16 to 74 years
Austria,2024,,2024,Individuals using the Internet - last 3 months,94.91969999999999,Percentage of population,Breakdown: From 16 to 74 years
Austria,2025,,2025,Individuals using the Internet - last 3 months,95.3039,Percentage of population,Breakdown: From 16 to 74 years
Belgium,2018,,2018,Individuals using the Internet - last 3 months,88.6551,Percentage of population,Breakdown: From 16 to 74 years
Belgium,2019,,2019,Individuals using the Internet - last 3 months,90.27539999999999,Percentage of population,Breakdown: From 16 to 74 years
Belgium,2020,,2020,Individuals using the Internet - last 3 months,91.5264,Percentage of population,Breakdown: From 16 to 74 years
Belgium,2021,,2021,Individuals using the Internet - last 3 months,92.7887,Percentage of population,Breakdown: From 16 to 74 years
Belgium,2022,,2022,Individuals using the Internet - last 3 months,94.0078,Percentage of population,Breakdown: From 16 to 74 years
Belgium,2023,,2023,Individuals using the Internet - last 3 months,94.6263,Percentage of population,Breakdown: From 16 to 74 years
Belgium,2024,,2024,Individuals using the Internet - last 3 months,95.7758,Percentage of population,Breakdown: From 16 to 74 years
Belgium,2025,,2025,Individuals using the Internet - last 3 months,96.4608,Percentage of population,Breakdown: From 16 to 74 years
Canada,2018,,2018,Individuals using the Internet - last 3 months,94.6396,Percentage of population,Breakdown: From 16 to 74 years
Canada,2020,,2020,Individuals using the Internet - last 3 months,95.1,Percentage of population,Breakdown: From 16 to 74 years
Canada,2022,,2022,Individuals using the Internet - last 3 months,96.89,Percentage of population,Breakdown: From 16 to 74 years
Chile,2023,,2023,Individuals using the Internet - last 3 months,96.79,Percentage of population,Breakdown: From 16 to 74 years
Chile,2024,,2024,Individuals using the Internet - last 3 months,97.3,Percentage of population,Breakdown: From 16 to 74 years
Costa Rica,2018,,2018,Individuals using the Internet - last 3 months,78.29463317,Percentage of population,Breakdown: From 16 to 74 years
Costa Rica,2019,,2019,Individuals using the Internet - last 3 months,86.3976938,Percentage of population,Breakdown: From 16 to 74 years
Costa Rica,2020,,2020,Individuals using the Internet - last 3 months,85.15786298,Percentage of population,Breakdown: From 16 to 74 years
Costa Rica,2021,,2021,Individuals using the Internet - last 3 months,86.9446896,Percentage of population,Breakdown: From 16 to 74 years
Costa Rica,2022,,2022,Individuals using the Internet - last 3 months,87.774729,Percentage of population,Breakdown: From 16 to 74 years
Costa Rica,2023,,2023,Individuals using the Internet - last 3 months,91.9,Percentage of population,Breakdown: From 16 to 74 years
Costa Rica,2024,,2024,Individuals using the Internet - last 3 months,92.96399643403909,Percentage of population,Breakdown: From 16 to 74 years
Czechia,2018,,2018,Individuals using the Internet - last 3 months,86.5024,Percentage of population,Breakdown: From 16 to 74 years
Czechia,2019,,2019,Individuals using the Internet - last 3 months,87.0339,Percentage of population,Breakdown: From 16 to 74 years
Czechia,2020,,2020,Individuals using the Internet - last 3 months,87.6016,Percentage of population,Breakdown: From 16 to 74 years
Czechia,2021,,2021,Individuals using the Internet - last 3 months,88.8537,Percentage of population,Breakdown: From 16 to 74 years
Czechia,2022,,2022,Individuals using the Internet - last 3 months,90.643,Percentage of population,Breakdown: From 16 to 74 years
Czechia,2023,,2023,Individuals using the Internet - last 3 months,92.0422,Percentage of population,Breakdown: From 16 to 74 years
Czechia,2024,,2024,Individuals using the Internet - last 3 months,93.6969,Percentage of population,Breakdown: From 16 to 74 years
Czechia,2025,,2025,Individuals using the Internet - last 3 months,94.524,Percentage of population,Breakdown: From 16 to 74 years
Denmark,2018,,2018,Individuals using the Internet - last 3 months,97.6081,Percentage of population,Breakdown: From 16 to 74 years
Denmark,2019,,2019,Individuals using the Internet - last 3 months,97.0633,Percentage of population,Breakdown: From 16 to 74 years
Denmark,2020,,2020,Individuals using the Internet - last 3 months,98.661,Percentage of population,Breakdown: From 16 to 74 years
Denmark,2021,,2021,Individuals using the Internet - last 3 months,98.8931,Percentage of population,Breakdown: From 16 to 74 years
Denmark,2022,,2022,Individuals using the Internet - last 3 months,97.85740000000001,Percentage of population,Breakdown: From 16 to 74 years
Denmark,2023,,2023,Individuals using the Internet - last 3 months,98.797,Percentage of population,Breakdown: From 16 to 74 years
Denmark,2024,,2024,Individuals using the Internet - last 3 months,99.7688,Percentage of population,Breakdown: From 16 to 74 years
Denmark,2025,,2025,Individuals using the Internet - last 3 months,99.7057,Percentage of population,Breakdown: From 16 to 74 years
Estonia,2018,,2018,Individuals using the Internet - last 3 months,89.3605,Percentage of population,Breakdown: From 16 to 74 years
Estonia,2019,,2019,Individuals using the Internet - last 3 months,90.23259999999999,Percentage of population,Breakdown: From 16 to 74 years
Estonia,2020,,2020,Individuals using the Internet - last 3 months,89.0584,Percentage of population,Breakdown: From 16 to 74 years
Estonia,2021,,2021,Individuals using the Internet - last 3 months,90.9841,Percentage of population,Breakdown: From 16 to 74 years
Estonia,2022,,2022,Individuals using the Internet - last 3 months,91.50359999999999,Percentage of population,Breakdown: From 16 to 74 years
Estonia,2023,,2023,Individuals using the Internet - last 3 months,93.1963,Percentage of population,Breakdown: From 16 to 74 years
Estonia,2024,,2024,Individuals using the Internet - last 3 months,92.25489999999999,Percentage of population,Breakdown: From 16 to 74 years
Estonia,2025,,2025,Individuals using the Internet - last 3 months,94.8591,Percentage of population,Breakdown: From 16 to 74 years
Finland,2018,,2018,Individuals using the Internet - last 3 months,94.3981,Percentage of population,Breakdown: From 16 to 74 years
Finland,2019,,2019,Individuals using the Internet - last 3 months,95.2912,Percentage of population,Breakdown: From 16 to 74 years
Finland,2020,,2020,Individuals using the Internet - last 3 months,96.9953,Percentage of population,Breakdown: From 16 to 74 years
Finland,2021,,2021,Individuals using the Internet - last 3 months,96.7059,Percentage of population,Breakdown: From 16 to 74 years
Finland,2022,,2022,Individuals using the Internet - last 3 months,97.25880000000001,Percentage of population,Breakdown: From 16 to 74 years
Finland,2023,,2023,Individuals using the Internet - last 3 months,97.6968,Percentage of population,Breakdown: From 16 to 74 years
