City_Key,City
1,Greater Sydney
2,Gosford - Springfield
3,Greater Melbourne
4,Greater Brisbane
5,Greater Perth
6,Rockingham
7,Greater Adelaide
8,Gold Coast
9,Canberra
10,Newcastle
11,Wollongong
12,Sunshine Coast
13,Greater Hobart
14,Townsville
15,Geelong
16,Cairns
17,Greater Darwin
18,Toowoomba
19,Ballarat
20,Bendigo
21,Wien
22,Graz
23,Linz
24,Salzburg
25,Innsbruck
26,Klagenfurt
27,Bruxelles/Brussel
28,Leuven
29,Antwerpen
30,Gent
31,Charleroi
32,Liège
33,Brugge
34,Namur
35,Mons
36,Kortrijk
37,Oostende
38,Mechelen
39,Mouscron
40,La Louvière
41,Verviers
42,Sofia
43,Pernik
44,Plovdiv
45,Varna
46,Burgas
47,Pleven
48,Ruse
49,Vidin
50,Stara Zagora
51,Sliven
52,Dobrich
53,Shumen
54,Yambol
55,Haskovo
56,Pazardzhik
57,Blagoevgrad
58,Veliko Tarnovo
59,Vratsa
60,Toronto
61,Barrie
62,Montreal
63,Vancouver
64,Ottawa
65,Calgary
66,Edmonton
67,Quebec
68,Winnipeg
69,Hamilton
70,London
71,Kitchener
72,Halifax
73,Victoria
74,Windsor
75,Saskatoon
76,Sherbrooke
77,St Catharines
78,Trois Rivieres
79,St Johns
80,Regina
81,Abbotsford
82,Guelph
83,Red Deer
84,Brantford
85,Peterborough
86,Niagara Falls
87,Bern
88,Thun
89,Zürich
90,Winterthur
91,Genève
92,Basel
93,Lausanne
94,Luzern
95,Lugano
96,St. Gallen
97,Biel/Bienne
98,Zug
99,Arica
100,Iquique
101,Calama
102,Antofagasta
103,Copiapo
104,Coquimbo-La Serena
105,Ovalle
106,Calera
107,Quillota
108,Valparaiso
109,Santiago
110,San Antonio
111,Melipilla
112,Rancagua
113,San Fernando
114,Curico
115,Talca
116,Linares
117,Chillan
118,Concepcion
119,Los Angeles
120,Temuco
121,Valdivia
122,Osorno
123,Puerto Montt
124,Punta Arenas
125,Bogota D.C.
126,Medellin
127,Cali
128,Barranquilla
129,Cartagena
130,Bucaramanga
131,Cucuta
132,Pereira
133,Ibague
134,Manizales
135,Santa Marta
136,Pasto
137,Armenia
138,Villavicencio
139,Monteria
140,Valledupar
141,Buenaventura
142,Neiva
143,Palmira
144,Popayan
145,Sincelejo
146,Barrancabermeja
147,Tulua
148,Tunja
149,Riohacha
150,San Andres de Tumaco
151,Florence
152,Apartado
153,Girardot
154,Cartago
155,Maicao
156,Magangue
157,Sogamoso
158,Guadalajara de Buga
159,Ipiales
160,Quibdo
161,Fusagasuga
162,Facatativa
163,Duitama
164,Yopal
165,Cienaga
166,Zipaquira
167,Rionegro
168,Ocana
169,La Dorada
170,Caucasia
171,Sabanalarga
172,Aguachica
173,Espinal
174,Arauca
175,Santa Rosa de Cabal
176,El Carmen de Bolivar
177,Fundacion
178,Lefkosia
179,Larnaka
180,Lemesos
181,Praha
182,Kladno
183,Brno
184,Ostrava
185,Havířov
186,Karviná
187,Plzeň
188,Ústí nad Labem
189,Olomouc
190,Liberec
191,České Budějovice
192,Hradec Králové
193,Pardubice
194,Zlín
195,Karlovy Vary
196,Jihlava
197,Most
198,Chomutov-Jirkov
199,Berlin
200,Potsdam
201,Hamburg
202,Lüneburg
203,München
204,Köln
205,Leverkusen
206,Bergisch Gladbach
207,Frankfurt am Main
208,Hanau
209,Offenbach am Main
210,Essen
211,Dortmund
212,Bochum
213,Mülheim a.d.Ruhr
214,Moers
215,Duisburg
216,Gelsenkirchen
217,Oberhausen
218,Hagen
219,Hamm
220,Herne
221,Recklinghausen
222,Bottrop
223,Witten
224,Stuttgart
225,Esslingen am Neckar
226,Ludwigsburg
227,Sindelfingen
228,Leipzig
229,Dresden
230,Düsseldorf
231,Neuss
232,Bremen
233,Hannover
234,Nürnberg
235,Fürth
236,Bielefeld
237,Halle an der Saale
238,Magdeburg
239,Wiesbaden
240,Göttingen
241,Darmstadt
242,Trier
243,Freiburg im Breisgau
244,Regensburg
245,Frankfurt (Oder)
246,Weimar
247,Schwerin
248,Erfurt
249,Augsburg
250,Bonn
251,Sankt Augustin
252,Karlsruhe
253,Mönchengladbach
254,Mainz
255,Kiel
