Country_Key,Country_Name
1,Argentina
2,Australia
3,Austria
4,Belgium
5,Bulgaria
6,Canada
7,Chile
8,Switzerland
9,Chinese Taipei
10,Colombia
11,Costa Rica
12,Croatia
13,Czechia
14,Denmark
15,Estonia
16,"European Union (27 countries, from 2020)"
17,Finland
18,France
19,Germany
20,Greece
21,Hungary
22,Iceland
23,Ireland
24,Israel
25,Italy
26,Japan
27,Korea
28,Latvia
29,Lithuania
30,Luxembourg
31,Mexico
32,Netherlands
33,New Zealand
34,Norway
35,OECD
36,Poland
37,Portugal
38,Romania
39,Russia
40,Singapore
41,Slovakia
42,Slovenia
43,South Africa
44,Spain
45,Sweden
46,Turkey
47,United Kingdom
48,United States
