Country,Year,Expenditure,Researchers
AR,2015,76,55
AR,2016,73,56
AR,2017,71,57
AR,2018,65,57
AR,2019,61,56
AR,2020,58,56
AR,2021,58,56
AR,2022,58,56
AR,2023,55,56
AU,2015,53,
AU,2017,53,
AU,2019,51,
AU,2021,53,
AT,2015,71,64
AT,2016,70,63
AT,2017,70,63
AT,2018,70,63
AT,2019,70,64
AT,2020,70,63
AT,2021,69,64
AT,2022,69,64
AT,2023,69,65
BE,2015,70,54
BE,2016,69,54
BE,2017,70,54
BE,2018,72,54
BE,2019,74,56
BE,2020,74,56
BE,2021,75,56
BE,2022,72,55
BE,2023,72,55
BG,2015,73,56
BG,2016,73,59
BG,2017,70,58
BG,2018,72,57
BG,2019,67,56
BG,2020,68,57
BG,2021,66,57
BG,2022,68,57
BG,2023,64,58
CA,2015,53,59
CA,2016,53,58
CA,2017,53,58
CA,2018,54,60
CA,2019,54,61
CA,2020,55,62
CA,2021,59,63
CA,2022,59,63
CA,2023,59,
CA,2024,60,
CL,2015,43,49
CL,2016,45,48
CL,2017,47,50
CL,2018,48,50
CL,2019,49,52
CL,2020,48,51
CL,2021,43,44
CL,2022,42,42
CH,2015,77,63
CH,2016,77,62
CH,2017,78,61
CH,2018,77,61
CH,2019,76,58
CH,2020,77,58
CH,2021,78,58
CH,2022,79,58
CH,2023,79,59
TW,2015,78,69
TW,2016,78,70
TW,2017,79,70
TW,2018,80,71
TW,2019,81,71
TW,2020,83,72
TW,2021,84,73
TW,2022,85,74
TW,2023,85,75
CO,2015,48,
CO,2016,41,
CO,2017,38,
CO,2018,45,
CO,2019,49,
CO,2020,53,
CR,2015,58,46
CR,2016,58,56
CR,2017,59,63
CR,2018,60,58
CR,2020,59,55
CR,2021,58,52
CR,2022,,46
CR,2023,,44
HR,2015,51,56
HR,2016,46,55
HR,2017,48,56
HR,2018,48,55
HR,2019,49,55
HR,2020,48,57
HR,2021,47,57
HR,2022,54,57
HR,2023,55,57
CZ,2015,54,50
CZ,2016,61,51
CZ,2017,63,52
CZ,2018,62,51
CZ,2019,62,51
CZ,2020,61,51
CZ,2021,63,53
CZ,2022,64,54
CZ,2023,65,55
DK,2015,63,58
DK,2016,65,60
DK,2017,63,59
DK,2018,63,58
DK,2019,62,58
DK,2020,62,58
DK,2021,62,56
DK,2022,61,58
DK,2023,62,59
EE,2015,46,61
EE,2016,51,61
EE,2017,47,61
EE,2018,45,66
EE,2019,53,66
EE,2020,55,68
EE,2021,56,68
EE,2022,56,64
EE,2023,58,63
EU27_2020,2015,64,52
EU27_2020,2016,65,53
EU27_2020,2017,66,54
EU27_2020,2018,66,55
EU27_2020,2019,66,55
EU27_2020,2020,65,55
EU27_2020,2021,66,55
EU27_2020,2022,66,56
EU27_2020,2023,66,56
FI,2015,67,57
FI,2016,66,56
FI,2017,65,55
FI,2018,66,56
FI,2019,66,57
FI,2020,67,59
FI,2021,69,62
FI,2022,68,60
FI,2023,68,60
FR,2015,65,60
FR,2016,65,60
FR,2017,65,61
FR,2018,66,62
FR,2019,66,62
FR,2020,66,62
FR,2021,66,62
FR,2022,66,62
FR,2023,66,62
DE,2015,69,59
DE,2016,68,59
DE,2017,69,60
DE,2018,69,60
DE,2019,69,61
DE,2020,67,60
DE,2021,67,60
DE,2022,67,61
DE,2023,68,63
GR,2015,53,64
GR,2016,43,59
GR,2017,49,51
GR,2018,48,51
GR,2019,46,52
GR,2020,46,53
GR,2021,47,51
GR,2022,49,52
GR,2023,49,50
HU,2015,73,59
HU,2016,74,59
HU,2017,73,62
HU,2018,76,57
HU,2019,75,58
HU,2020,76,59
HU,2021,75,61
HU,2022,72,60
HU,2023,73,63
IS,2015,66,
IS,2016,64,
IS,2017,64,53
IS,2018,64,53
IS,2019,69,
IS,2020,68,
IS,2021,72,56
IS,2022,72,
IS,2023,75,50
IE,2015,72,52
IE,2016,72,52
IE,2017,74,51
IE,2018,77,54
IE,2019,79,53
IE,2020,79,52
IE,2021,80,50
IE,2022,88,53
IE,2023,86,51
IL,2015,85,
IL,2016,87,
IL,2017,88,
IL,2018,88,
IL,2019,90,
IL,2020,91,
IL,2021,92,
IL,2022,93,
IL,2023,93,
IT,2015,58,48
IT,2016,61,48
IT,2017,62,48
IT,2018,63,48
IT,2019,63,49
IT,2020,62,49
IT,2021,60,50
IT,2022,60,50
IT,2023,58,43
JP,2015,78,73
JP,2016,79,73
JP,2017,79,74
JP,2018,79,74
JP,2019,79,74
JP,2020,79,75
JP,2021,79,75
JP,2022,79,75
JP,2023,79,75
KR,2015,78,80
KR,2016,78,80
KR,2017,79,81
KR,2018,80,82
KR,2019,80,82
KR,2020,79,82
KR,2021,79,83
KR,2022,79,83
KR,2023,79,82
LV,2015,50,64
LV,2016,48,62
LV,2017,47,65
LV,2018,52,64
LV,2019,55,64
LV,2020,47,64
LV,2021,44,60
LV,2022,46,57
LV,2023,44,55
LT,2015,56,59
LT,2016,39,59
LT,2017,37,55
LT,2018,42,55
LT,2019,43,55
LT,2020,47,56
LT,2021,49,56
LT,2022,50,56
LT,2023,43,57
LU,2015,53,40
LU,2016,55,43
LU,2017,56,43
LU,2018,53,40
LU,2019,54,41
LU,2020,50,41
LU,2021,51,44
LU,2022,49,43
LU,2023,50,45
MX,2015,80,49
MX,2016,78,44
MX,2017,77,43
NL,2015,64,67
NL,2016,66,68
NL,2017,66,69
NL,2018,66,70
NL,2019,67,69
NL,2020,67,69
NL,2021,66,69
NL,2022,68,71
NL,2023,69,71
NZ,2015,51,64
NZ,2017,54,54
NZ,2019,58,57
NZ,2021,60,46
NZ,2023,63,50
NO,2015,54,49
NO,2016,53,48
NO,2017,53,49
NO,2018,52,50
NO,2019,53,50
NO,2020,54,51
NO,2021,54,51
NO,2022,55,52
NO,2023,57,54
OECD,2015,69,62
OECD,2016,70,62
OECD,2017,71,63
OECD,2018,71,64
OECD,2019,72,65
OECD,2020,72,65
OECD,2021,73,66
OECD,2022,73,66
OECD,2023,74,
PL,2015,47,49
PL,2016,66,58
PL,2017,64,53
PL,2018,66,54
PL,2019,63,59
PL,2020,63,56
PL,2021,63,55
PL,2022,66,56
PL,2023,65,56
PT,2015,46,65
PT,2016,48,63
PT,2017,50,61
PT,2018,51,61
PT,2019,52,60
PT,2020,57,61
PT,2021,60,61
PT,2022,62,61
PT,2023,63,62
RO,2015,44,49
RO,2016,55,49
RO,2017,57,49
RO,2018,59,50
RO,2019,58,50
RO,2020,59,50
RO,2021,60,52
RO,2022,62,51
RO,2023,62,52
RU,2015,70,46
RU,2016,68,47
RU,2017,66,47
RU,2018,67,46
RU,2019,66,48
RU,2020,68,47
SG,2015,59,50
SG,2016,58,49
SG,2017,59,50
SG,2018,60,51
SG,2019,61,52
SG,2020,63,54
SG,2021,64,51
SG,2022,64,54
SK,2015,44,59
SK,2016,50,58
SK,2017,54,57
SK,2018,54,57
SK,2019,55,57
SK,2020,54,57
SK,2021,56,55
SK,2022,57,52
SK,2023,56,51
SI,2015,76,53
SI,2016,76,55
SI,2017,75,62
SI,2018,74,62
SI,2019,74,61
SI,2020,73,61
SI,2021,73,60
SI,2022,70,58
SI,2023,69,56
ZA,2015,45,70
ZA,2016,46,71
ZA,2017,47,71
ZA,2018,48,74
ZA,2019,56,78
ZA,2020,56,79
ZA,2021,53,79
ZA,2022,51,78
ES,2015,53,50
ES,2016,54,51
ES,2017,55,51
ES,2018,57,52
ES,2019,56,53
ES,2020,56,54
ES,2021,56,55
ES,2022,56,55
ES,2023,56,55
SE,2015,70,68
SE,2016,70,67
SE,2017,71,71
SE,2018,71,73
SE,2019,72,71
SE,2020,72,72
SE,2021,72,75
SE,2022,74,75
SE,2023,74,73
CH,2015,69,50
CH,2017,68,51
CH,2019,69,51
CH,2021,69,50
CH,2022,,42
