Country_Key,Country_Name
1,Australia
2,Austria
3,Belgium
4,Canada
5,Chile
6,Colombia
7,Costa Rica
8,Czechia
9,Denmark
10,Estonia
11,Finland
12,France
13,Germany
14,Greece
15,Hungary
16,Iceland
17,Ireland
18,Israel
19,Italy
20,Japan
21,Korea
22,Latvia
23,Lithuania
24,Luxembourg
25,Mexico
26,Netherlands
27,New Zealand
28,Norway
29,OECD
30,Poland
31,Portugal
32,Slovak Republic
33,Slovenia
34,Spain
35,Sweden
36,Switzerland
37,Türkiye
38,United Kingdom
39,United States
40,· Brazil
41,· Bulgaria
42,· Croatia
43,· Peru
44,· Romania
45,· Thailand
