Country_Name,Type,NetworkAccessType,NetworkType,YearQuarter,MeasureValue,Unit,Year,Quarter
Australia,Subscriptions,Total,Fixed broadband,2018-Q2,8158000.0,Subscriptions,2018,Q2
Australia,Subscriptions,Total,Fixed broadband,2018-Q4,8423457.0,Subscriptions,2018,Q4
Australia,Subscriptions,Total,Fixed broadband,2019-Q2,8702310.0,Subscriptions,2019,Q2
Australia,Subscriptions,Total,Fixed broadband,2019-Q4,8802600.0,Subscriptions,2019,Q4
Australia,Subscriptions,Total,Fixed broadband,2020-Q2,8975817.0,Subscriptions,2020,Q2
Australia,Subscriptions,Total,Fixed broadband,2020-Q4,9099619.0,Subscriptions,2020,Q4
Australia,Subscriptions,Total,Fixed broadband,2021-Q2,9084679.0,Subscriptions,2021,Q2
Australia,Subscriptions,Total,Fixed broadband,2021-Q4,9164660.0,Subscriptions,2021,Q4
Australia,Subscriptions,Total,Fixed broadband,2022-Q2,9214010.0,Subscriptions,2022,Q2
Australia,Subscriptions,Total,Fixed broadband,2022-Q4,9535408.0,Subscriptions,2022,Q4
Australia,Subscriptions,Total,Fixed broadband,2023-Q2,9574071.0,Subscriptions,2023,Q2
Australia,Subscriptions,Total,Fixed broadband,2023-Q4,9688366.0,Subscriptions,2023,Q4
Australia,Subscriptions,Total,Fixed broadband,2024-Q2,9746664.0,Subscriptions,2024,Q2
Australia,Subscriptions,Total,Fixed broadband,2024-Q4,9788261.0,Subscriptions,2024,Q4
Austria,Subscriptions,Total,Fixed broadband,2018-Q2,2499500.0,Subscriptions,2018,Q2
Austria,Subscriptions,Total,Fixed broadband,2018-Q4,2521379.0,Subscriptions,2018,Q4
Austria,Subscriptions,Total,Fixed broadband,2019-Q2,2513699.0,Subscriptions,2019,Q2
Austria,Subscriptions,Total,Fixed broadband,2019-Q4,2519721.0,Subscriptions,2019,Q4
Austria,Subscriptions,Total,Fixed broadband,2020-Q2,2534344.0,Subscriptions,2020,Q2
Austria,Subscriptions,Total,Fixed broadband,2020-Q4,2554710.0,Subscriptions,2020,Q4
Austria,Subscriptions,Total,Fixed broadband,2021-Q2,2572511.0,Subscriptions,2021,Q2
Austria,Subscriptions,Total,Fixed broadband,2021-Q4,2623354.0,Subscriptions,2021,Q4
Austria,Subscriptions,Total,Fixed broadband,2022-Q2,2617967.0,Subscriptions,2022,Q2
Austria,Subscriptions,Total,Fixed broadband,2022-Q4,2653098.0,Subscriptions,2022,Q4
Austria,Subscriptions,Total,Fixed broadband,2023-Q2,2662806.0,Subscriptions,2023,Q2
Austria,Subscriptions,Total,Fixed broadband,2023-Q4,2695801.0,Subscriptions,2023,Q4
Austria,Subscriptions,Total,Fixed broadband,2024-Q2,2710461.0,Subscriptions,2024,Q2
Austria,Subscriptions,Total,Fixed broadband,2024-Q4,2759082.0,Subscriptions,2024,Q4
Belgium,Subscriptions,Total,Fixed broadband,2018-Q2,4411325.0,Subscriptions,2018,Q2
Belgium,Subscriptions,Total,Fixed broadband,2018-Q4,4502950.0,Subscriptions,2018,Q4
Belgium,Subscriptions,Total,Fixed broadband,2019-Q2,4542618.0,Subscriptions,2019,Q2
Belgium,Subscriptions,Total,Fixed broadband,2019-Q4,4593034.0,Subscriptions,2019,Q4
Belgium,Subscriptions,Total,Fixed broadband,2020-Q2,4687064.0,Subscriptions,2020,Q2
Belgium,Subscriptions,Total,Fixed broadband,2020-Q4,4765850.0,Subscriptions,2020,Q4
Belgium,Subscriptions,Total,Fixed broadband,2021-Q2,4788742.0,Subscriptions,2021,Q2
Belgium,Subscriptions,Total,Fixed broadband,2021-Q4,4977986.0,Subscriptions,2021,Q4
